id,text,label
1568524118357864451,Yunan ülkemizi işgal etmiş namusumuza tecavüz ediyor niçin onların ağzına sictik denize döktük demiyorsunuz Osmanlıyı kotuluyorsunuz.Dörtyüz sene çok mu gücünüze gitti.Hala acıyormu.,1
1527761356061134851,@FeramuzKartal @Neslihan662 Düşüncen dogru konuya yanlış yerden bakıyorsun.Rusya da Ukranya da NATO üyesi değil. Yunanistan Türkiye savaşı olursa iki ülke NATO üyesi.Nasıl olacak?Atina kara sınırını 20 mile çıkartır ise işte o zaman savaş başlar ve 1 günde teslim alır.Buna hiç bir ülke bile destek vermez,0
1503008593372749826,@UfukUras Adaların silahlandırılması savaş sebebidir Tabi ki öncelik diplomasidir fakat Yunanistan var olan antlaşmayı yok sayıp adaları silahlandırıyor.Diplomasiden sonuç alınmazsa ya savaşırsınız ya da durumu kabullenirsiniz.,0
1568255642095296513,@___MuraT_ASM___ İzmire gavur diyen keske yunan kazansaydı diyen ermeni tohumlarına mi birakacaz zannediyorsunuz güzel İzmiri  bütün hainleri denize yine dökeriz sıkıntı yok. Yaşa Mustafa Kemal Paşa Yaşa.,1
1525787544083910656,"Bugünden 103 yıl önce İzmir’de Yunan işgal birliklerine ilk kurşunu atan ve Milli Mücadele’nin ateşinı yakan kahraman #HasanTahsin ‘i saygı, rahmet ve minnetle anıyorum. https://t.co/MaNtcACoI5",0
1568395242138910724,"İzmir'in ve İstanbul'un ""Rum"" sermaye sahipleri işgal olunca sevindi mi? Sevindi. Açıp tarih okuyabilirsiniz.

Biz de Yunan'ı denize döktüğümüz ve varlık vergisi aracılığıyla kanla kazandıkları parayı burunlarından fitil fitil getirdiğimiz için seviniriz. https://t.co/0D2DsiGj7i",1
1563802560703643649,"@eurodolar1980x çalışıyor.Çünkü PKK kinini, ilkel kan davası kültürünü, düşmanlığını put haline getirmiş, gözü dönmüş bir örgüttür. Nasihatle yola gelmesi mümkün değildir. Bunun gibi Yunan halkı da anaokulundan itibaren Türk düşmanlığı ile Türkiye’nin topraklarını işgal hülyası ile yetiştirilen,",0
1555173275759742976,"@_Esra___Cavus Yunan galip gelseydi diyen soysuz ve cenazesi.
Mezarında ters dönsün.
https://t.co/tKq8DXbeza https://t.co/Wo0pnPZ3ee",1
1531533315790061568,@DTsiafis @Grivanof @NikosDendias Ege denizini nasıl alacagımızı sende göreceksin. O kutlu savaş da devletimin bizzat yanında  yer alacağım siz yunanistanı Amerikanın köpeği haline getirdiniz kendi profesörlerinizi dinlemenizi tavsiye ederim.yunanistan ancak yeni TÜRKİYEnin vilayeti olabilir.,0
1564021617147219968,@turkdegs Bu lavuk işini yapıyor bizimkiler ne yapıyor onu sormak lazım. Bizden 20 kat küçük Yunanistan bizimle nasıl boy ölçüşüyor güçlü ordu pasif politika 👎,0
1489864678326951938,"🔥 Mehmet Barlas: Yunanistan'ın Türk balıkçılarına meşru sularda saldırması savaş nedeni olabilir: ""Türkiye şu anda bir sıcak savaşın içinde"" https://t.co/u41ahRYGLa",0
1552751979843182594,@Aslidiyorki1453 Türkün dediğine değilde yunanın dediğine uy yunan tohumu seni.,1
1497667803985424390,"Düşünsenize, Ukrayna'ya, güney doğudan Fransa, batıdan Yunanistan, Güneydenİtalya girmiş. Kiev'i İngiltere işgal etmiş. Sayısız ülke sana karşı askeri birlik göndermiş... 

Aga sen o maçı nasıl çevirdin be... https://t.co/L5WftgAkCA",0
1536942774813175812,"@abdullahagar2 Almanya'nın yıllar önce Yunan'a yaptığını Amerika şimdi yapıyor. Türk tehdidi var deyip Yunanista'a silah satıp yıllarca sömürme peşinde. W.Churchchill savaş büyük bi ticarettir derdi. Yunanistan gaza gelip hödüklenmeye başladı. Ee bizde bi laf var"" Havlayan köpek ısırmaz """,0
1568367473266663424,Bu nasil Yunan düşmanlığı biz Yunan'a savaş açsak izmirden basliycaz gibi birdurum var bu nasıl bir sevgi bu nasıl bir Osmanlı düşmanlığı #HaddiniBilTunçSoyer,1
1569283393577172995,"Aynı Ermenistan’ın Azerbaycan’ı sürekli taciz ettiği anda Azerbaycan’ın saldırdığı gibi saldırır Türkiye. Yunanistan’ın egemenliğindeki hiçbir toprağı işgal etmez. Egenmenliği bizde olması gereken ada ve adacıkları alır, adalardaki bütün askeri hedefleri yok eder+++ https://t.co/ahAYAEhLzO",0
1568673368357961730,Yunan taciz atışı yapmış  #HaddinibilTuncSoyer,0
